Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/anupam/roversim/data/IMG/robocam_2018_03_08_23_52_15_446.jpg;0;1;0;0.6382488;99.85348;85.84417;1.220696;54.25824;-0.002168464
/home/anupam/roversim/data/IMG/robocam_2018_03_08_23_52_15_513.jpg;0;1;0;0.7101692;99.87837;85.87857;1.186046;54.31245;-0.001445935
/home/anupam/roversim/data/IMG/robocam_2018_03_08_23_52_15_579.jpg;0;1;0;0.7754217;99.90578;85.91643;1.198454;54.33762;-0.001121917
/home/anupam/roversim/data/IMG/robocam_2018_03_08_23_52_15_646.jpg;0;1;0;0.8205462;99.9448;85.97041;1.20915;54.30513;-0.001255807
/home/anupam/roversim/data/IMG/robocam_2018_03_08_23_52_15_713.jpg;0;1;0;0.8651631;99.97627;86.01389;1.218799;54.29416;-0.0006346841
/home/anupam/roversim/data/IMG/robocam_2018_03_08_23_52_15_779.jpg;0;1;0;0.944516;100.0096;86.05994;1.226923;54.30507;-0.001097324
/home/anupam/roversim/data/IMG/robocam_2018_03_08_23_52_15_846.jpg;0;1;0;0.9933091;100.0566;86.12471;1.218701;54.29625;-0.001021158
/home/anupam/roversim/data/IMG/robocam_2018_03_08_23_52_15_913.jpg;0;1;0;1.041376;100.0937;86.17592;1.216669;54.29922;-0.0004937258
/home/anupam/roversim/data/IMG/robocam_2018_03_08_23_52_15_979.jpg;0;1;0;1.102642;100.1325;86.22954;1.223924;54.33171;-0.001281726
/home/anupam/roversim/data/IMG/robocam_2018_03_08_23_52_16_046.jpg;0;1;0;1.146076;100.1868;86.30445;1.223353;54.31902;-0.0005000785
/home/anupam/roversim/data/IMG/robocam_2018_03_08_23_52_16_107.jpg;0;1;0;1.195087;100.2294;86.36327;1.224389;54.2949;-0.0008628019
/home/anupam/roversim/data/IMG/robocam_2018_03_08_23_52_16_179.jpg;0;1;0;1.257953;100.2737;86.42451;1.229673;54.25891;-0.0007922976
/home/anupam/roversim/data/IMG/robocam_2018_03_08_23_52_16_246.jpg;0;1;0;1.305156;100.3356;86.50974;1.238538;54.22009;-0.000732789
/home/anupam/roversim/data/IMG/robocam_2018_03_08_23_52_16_313.jpg;-2.987509;0.8008327;0;1.35106;100.3844;86.57547;1.237803;54.04316;0.0004167388
/home/anupam/roversim/data/IMG/robocam_2018_03_08_23_52_16_378.jpg;-5.932392;0.6045072;0;1.399419;100.4356;86.64186;1.231579;53.63936;0.001374546
/home/anupam/roversim/data/IMG/robocam_2018_03_08_23_52_16_446.jpg;-8.999906;0.4000063;0;1.421119;100.5073;86.72959;1.19774;52.69134;359.9754
/home/anupam/roversim/data/IMG/robocam_2018_03_08_23_52_16_511.jpg;-12.00231;0.1998463;0;1.433816;100.5634;86.79333;1.123142;51.68176;359.9187
/home/anupam/roversim/data/IMG/robocam_2018_03_08_23_52_16_579.jpg;-14.99445;0.0003700256;0;1.435239;100.6212;86.85439;1.00285;50.45327;359.8155
/home/anupam/roversim/data/IMG/robocam_2018_03_08_23_52_16_645.jpg;-15;0;0;1.428383;100.6998;86.93192;0.7810917;48.66317;359.6256
/home/anupam/roversim/data/IMG/robocam_2018_03_08_23_52_16_712.jpg;-15;0;0;1.42227;100.7597;86.9877;0.5831362;47.32777;359.4612
/home/anupam/roversim/data/IMG/robocam_2018_03_08_23_52_16_778.jpg;-15;0;0;1.413813;100.8202;87.0416;0.3681145;46.00436;359.2833
/home/anupam/roversim/data/IMG/robocam_2018_03_08_23_52_16_845.jpg;-15;0;0;1.407174;100.9021;87.11066;0.06866999;44.25511;359.0339
/home/anupam/roversim/data/IMG/robocam_2018_03_08_23_52_16_912.jpg;-15;0;0;1.400309;100.9645;87.16128;359.8822;42.97058;358.8763
